,NomeCidade,MediaSalarialGeral,SalMed_ExecGeral,SalMed_GerenteIntGeral,SalMed_FuncGeral,SalMed_TrabalhadorGeral
1503,Saint-Pons-de-Thomières,11.5,19.2,13.0,9.7,10.9
1504,Saint-Thibéry,11.6,20.1,13.7,9.8,10.6
1505,Sauvian,13.4,23.9,15.6,10.7,10.9
1506,Sérignan,12.3,23.0,13.8,9.8,10.7
1507,Servian,12.3,20.9,14.4,9.9,10.9
1508,Sète,12.2,23.3,13.8,10.0,10.3
1509,Sussargues,17.6,26.5,15.2,11.4,11.2
1510,Teyran,17.0,26.8,14.4,11.0,11.6
1511,Thézan-lès-Béziers,12.2,19.9,14.0,10.0,11.0
1512,Vailhauquès,15.2,23.1,15.0,11.1,11.6
1513,Valergues,14.0,23.0,14.5,11.1,10.9
1514,Valras-Plage,11.8,21.1,14.8,9.5,10.6
1515,Vendargues,14.3,22.9,14.7,10.8,10.6
1516,Vendres,12.7,22.0,14.5,9.7,10.4
1517,Vias,11.4,21.8,13.2,9.4,10.4
1518,Vic-la-Gardiole,12.4,20.6,13.5,10.2,10.6
1519,Villeneuve-lès-Béziers,11.8,21.4,14.1,9.7,10.6
1520,Villeneuve-lès-Maguelone,13.7,23.1,14.4,10.6,10.7
1521,Villeveyrac,12.5,21.3,14.3,10.2,10.4
1522,La Grande-Motte,13.4,25.5,15.1,10.2,10.4
1523,Acigné,14.8,22.3,14.3,11.4,10.6
1524,Argentré-du-Plessis,12.9,23.9,14.2,11.3,10.7
1525,Bain-de-Bretagne,12.5,22.4,13.8,10.2,10.6
1526,Bains-sur-Oust,12.9,25.0,14.1,10.3,11.1
1527,Bais,11.5,22.1,13.4,9.9,10.6
1528,Balazé,12.2,23.7,13.2,9.9,10.8
1529,Baulon,12.5,22.2,14.2,9.9,11.3
1530,Bédée,13.4,21.8,14.0,10.7,10.9
1531,Betton,15.8,23.6,14.7,11.2,11.4
1532,La Bouëxière,13.1,22.0,13.8,10.2,10.9
1533,Bourgbarré,13.7,22.2,14.2,10.8,11.3
1534,Bourg-des-Comptes,13.1,22.6,14.5,10.4,10.8
1535,Bréal-sous-Montfort,13.0,22.5,13.8,10.3,11.1
1536,Brécé,14.4,22.2,13.3,13.0,11.0
1537,Breteil,12.7,20.7,14.0,10.6,10.8
1538,Bruz,15.8,24.8,17.0,10.9,11.2
1539,Cancale,13.6,26.4,14.0,10.5,11.7
1540,Cesson-Sévigné,17.6,24.5,16.5,11.4,12.3
1541,Chantepie,14.2,22.0,13.9,10.9,11.0
1542,La Chapelle-des-Fougeretz,14.5,21.8,15.0,10.9,10.8
1543,Chartres-de-Bretagne,14.5,24.5,14.3,11.0,11.0
1544,Châteaubourg,13.6,21.9,13.9,10.7,10.9
1545,Châteaugiron,15.7,24.1,14.5,11.1,11.3
1546,Chavagne,14.3,24.0,14.3,10.8,11.0
1547,Cintré,14.2,22.7,14.4,10.7,11.1
1548,Combourg,12.5,22.1,13.4,10.1,10.8
1549,Corps-Nuds,13.3,20.5,14.2,10.8,10.9
1550,Crevin,12.8,21.5,13.6,10.5,11.3
1551,Dinard,14.2,26.6,15.2,10.0,10.8
1552,Dol-de-Bretagne,11.7,22.9,13.3,9.8,10.1
1553,Domagné,12.6,21.5,13.5,10.5,10.9
1554,Domloup,14.2,21.7,14.4,10.9,11.1
1555,Étrelles,12.6,22.6,13.8,10.2,10.8
1556,Fougères,12.0,24.3,13.7,10.1,10.0
1557,La Fresnais,11.1,20.0,13.4,9.8,10.3
1558,Gévezé,13.9,21.5,13.9,10.8,11.0
1559,Goven,13.3,22.6,14.0,10.5,10.8
1560,Grand-Fougeray,12.2,22.6,13.7,9.9,10.5
1561,La Guerche-de-Bretagne,11.7,22.9,13.5,10.1,10.4
1562,Guichen,13.3,22.3,14.1,10.5,11.1
1563,Guignen,12.3,20.7,13.3,10.5,11.1
1564,Guipry,11.7,19.9,13.9,9.8,10.8
1565,Hédé-Bazouges,13.3,23.2,13.8,10.7,9.9
1566,L'Hermitage,13.2,21.8,14.1,10.8,10.9
1567,Iffendic,12.3,21.0,13.7,10.2,10.9
1568,Irodouër,12.0,19.7,13.6,10.3,10.8
1569,Janzé,12.9,22.0,14.0,10.5,10.9
1570,Laillé,14.8,23.1,14.8,11.2,11.3
1571,Lécousse,13.6,25.0,14.0,12.0,10.5
1572,Liffré,14.4,22.4,14.4,10.8,11.0
1573,Louvigné-du-Désert,10.9,20.4,13.2,9.8,10.2
1574,Martigné-Ferchaud,11.9,21.1,13.2,10.2,11.0
1575,Maure-de-Bretagne,11.9,22.0,14.0,9.9,10.9
1576,Melesse,14.7,23.6,14.2,10.9,11.2
1577,Messac,12.0,20.7,13.5,10.0,10.7
1578,La Mézière,14.8,24.1,14.2,10.9,11.0
1579,Miniac-Morvan,11.5,20.8,12.9,9.9,10.4
1580,Montauban-de-Bretagne,12.8,21.8,14.2,10.5,11.0
1581,Montfort-sur-Meu,13.7,23.1,14.5,10.9,10.9
1582,Montgermont,15.3,24.0,13.8,10.6,10.6
1583,Montreuil-sur-Ille,12.6,20.9,13.1,10.2,10.8
1584,Mordelles,13.4,22.3,13.9,10.6,10.7
1585,Nouvoitou,14.1,22.3,14.2,10.5,11.1
1586,Noyal-Châtillon-sur-Seiche,13.8,23.2,14.0,10.6,11.0
1587,Noyal-sur-Vilaine,14.0,22.2,14.6,10.7,11.0
1588,Orgères,14.0,22.6,14.5,10.8,11.0
1589,Pacé,16.2,25.6,14.9,11.2,11.5
1590,Pipriac,11.5,20.3,13.3,9.9,10.7
1591,Piré-sur-Seiche,12.8,22.1,14.1,10.2,10.8
1592,Pléchâtel,12.5,22.4,13.8,10.4,10.9
1593,Plélan-le-Grand,12.1,20.3,13.3,10.1,10.6
1594,Plerguer,11.2,19.5,12.6,9.6,10.6
1595,Pleumeleuc,13.3,21.6,14.1,10.5,11.0
1596,Pleurtuit,12.7,25.4,13.4,10.1,10.8
1597,Redon,12.6,23.6,13.6,10.1,10.6
1598,Rennes,14.0,22.3,14.0,10.4,10.4
1599,Retiers,11.9,22.0,13.6,9.8,11.3
1600,Le Rheu,14.6,23.5,14.8,10.9,10.8
1601,La Richardais,14.9,29.5,15.5,9.9,10.8
1602,Romagné,12.6,22.5,13.7,10.1,10.5
1603,Romillé,13.1,22.2,14.0,10.6,10.7
1604,Saint-Aubin-d'Aubigné,13.0,21.2,13.5,10.5,11.0
1605,Saint-Aubin-du-Cormier,12.8,21.7,13.9,10.2,10.4
1606,Saint-Brice-en-Coglès,11.3,21.4,13.5,9.9,10.4
1607,Saint-Coulomb,13.7,24.8,14.3,10.4,10.5
1608,Saint-Domineuc,12.7,22.8,13.4,9.8,10.6
1609,Saint-Erblon,13.8,21.7,14.8,10.6,10.6
