,NomeCidade,NumEmpCid,NumEmpDesc,NumCol_5,NumCol_9,NumCol_19,NumCol_49,NumCol_99,NumCol_199,NumCol_499,NumCol_+500
30358,Notre-Dame-du-Pré,16,13,3,0,0,0,0,0,0,0
30359,Novalaise,158,117,32,3,3,3,0,0,0,0
30360,Le Noyer,10,10,0,0,0,0,0,0,0,0
30361,Ontex,5,5,0,0,0,0,0,0,0,0
30362,Orelle,25,20,2,1,1,1,0,0,0,0
30363,Pallud,24,23,1,0,0,0,0,0,0,0
30364,Peisey-Nancroix,276,238,25,7,5,0,0,1,0,0
30365,La Perrière,156,132,13,2,7,2,0,0,0,0
30366,Planaise,23,18,5,0,0,0,0,0,0,0
30367,Planay,38,30,3,3,2,0,0,0,0,0
30368,Plancherine,22,17,4,1,0,0,0,0,0,0
30369,Pontamafrey-Montpascal,36,17,11,4,1,3,0,0,0,0
30370,Le Pont-de-Beauvoisin,221,121,66,18,10,4,1,1,0,0
30371,Le Pontet,9,8,1,0,0,0,0,0,0,0
30372,Pralognan-la-Vanoise,216,164,39,10,2,0,1,0,0,0
30373,Presle,13,9,4,0,0,0,0,0,0,0
